Version: 2,,,,,,,,,,,,,,,,,
ID,Suffix,iabi,icid,icla,iclb,iclg,iclr,ides,ifil,igol,ihtp,iico,ipaw,ipow,isca,iusa,unam
Z000,rre2,"""A403""","""AIau""",,,,,,""".mdl""",,,,,,,,
Z001,rre2,"""A400""",,,,,,,""".mdl""",,,,,,,,
Z002,ches,,,"""Permanent""",,,,"""德堪出品|nwww.dota1.com""","""Objects\\InventoryItems\\BundleofGifts\\BundleofGifts.mdl""",,999999999,"""ReplaceableTextures\\CommandButtons\\BTNdekan_item_lotus_orb.blp""",,1,1.3,1,"""幸运清莲宝珠"""
Z003,ches,,,"""Permanent""",,,,"""德堪出品|nwww.dota1.com""","""Objects\\InventoryItems\\BundleofGifts\\BundleofGifts.mdl""",,999999999,"""ReplaceableTextures\\CommandButtons\\BTNDust.blp""",,1,1.3,1,"""幸运宝箱"""
I000,ches,,,"""Permanent""",,,,"""德堪出品|nwww.09game.com""","""war3mapImported\\treasurechest_Standonly.mdl""",,,"""ReplaceableTextures\\CommandButtons\\BTNGauntletsOfOgrePower.blp""",,1,,1,"""力量手套"""
I001,ches,,,"""Permanent""",,,,"""德堪出品|nwww.09game.com""","""war3mapImported\\treasurechest_Standonly.mdl""",,,"""ReplaceableTextures\\CommandButtons\\BTNSlippersOfAgility.blp""",,1,,1,"""敏捷便鞋"""
I002,ches,,,"""Permanent""",,,,"""德堪出品|nwww.09game.com""","""war3mapImported\\treasurechest_Standonly.mdl""",,,"""ReplaceableTextures\\CommandButtons\\BTNMantleOfIntelligence.blp""",,1,,1,"""智力斗篷"""
I003,ches,,,"""Permanent""",,,,"""德堪出品|nwww.09game.com""","""war3mapImported\\treasurechest_Standonly.mdl""",,,"""ReplaceableTextures\\CommandButtons\\BTNIronwoodbranch.blp""",,1,,1,"""铁树枝干"""
I004,ches,,,"""Permanent""",,,,"""德堪出品|nwww.09game.com""","""war3mapImported\\treasurechest_Standonly.mdl""",,,"""ReplaceableTextures\\CommandButtons\\BTNBelt.blp""",,1,,1,"""巨人力量腰带"""
I005,ches,,,"""Permanent""",,,,"""德堪出品|nwww.09game.com""","""war3mapImported\\treasurechest_Standonly.mdl""",,,"""ReplaceableTextures\\CommandButtons\\BTNBoots.blp""",,1,,1,"""精灵皮靴"""
I006,ches,,,"""Permanent""",,,,"""德堪出品|nwww.09game.com""","""war3mapImported\\treasurechest_Standonly.mdl""",,,"""ReplaceableTextures\\CommandButtons\\BTNRobeOfTheMagi.blp""",,1,,1,"""法师长袍"""
I007,ches,,,"""Permanent""",,,,"""德堪出品|nwww.09game.com""","""war3mapImported\\treasurechest_Standonly.mdl""",,,"""ReplaceableTextures\\CommandButtons\\BTNCirclet.blp""",,1,,1,"""贵族圆环"""
I008,ches,,,"""Permanent""",,,,"""德堪出品|nwww.09game.com""","""war3mapImported\\treasurechest_Standonly.mdl""",,,"""ReplaceableTextures\\CommandButtons\\BTNSpiritWalkerAdeptTraining.blp""",,1,,1,"""食人魔之斧"""
I009,ches,,,"""Permanent""",,,,"""德堪出品|nwww.09game.com""","""war3mapImported\\treasurechest_Standonly.mdl""",,,"""ReplaceableTextures\\CommandButtons\\BTNINV_ThrowingKnife_03.blp""",,1,,1,"""欢欣之刃"""
